[2018-05-16 11:11:00,121] [INFO   ] [client:client.py-init_logging-34] Current log level is : INFO
[2018-05-16 11:11:00,126] [INFO   ] [client:client.py-send_data-99] will post device central :{"action": "join", "body": "xx", "fullname": "15608059720", "token": "123", "room": "R123"}
[2018-05-16 11:11:00,126] [INFO   ] [client:client.py-send_data-99] will post device central :{"action": "status", "body": "xx", "fullname": "15608059720", "token": "123", "room": "R123"}
[2018-05-16 11:11:00,127] [INFO   ] [client:client.py-start-91] connect server success:ws://127.0.0.1:8888/
[2018-05-16 11:11:00,168] [INFO   ] [client:client.py-on_recv_msg-55] receive message = {"status": 0, "body": {"count": 0, "status": "4", "room": "R123", "current_time": 1526440260, "start_time": "1526440260", "author": "", "name": "", "nick": "", "end_time": "1526526660", "members": [], "sid": "0", "duration": "86400", "fullname": "", "songs": []}, "timestamp": "1526440260.17"}
[2018-05-16 11:14:39,722] [INFO   ] [client:client.py-init_logging-34] Current log level is : INFO
[2018-05-16 11:14:39,728] [INFO   ] [client:client.py-send_data-99] will post device central :{"action": "join", "body": "xx", "fullname": "15608059720", "token": "123", "room": "R123"}
[2018-05-16 11:14:39,729] [INFO   ] [client:client.py-send_data-99] will post device central :{"action": "status", "body": "xx", "fullname": "15608059720", "token": "123", "room": "R123"}
[2018-05-16 11:14:39,729] [INFO   ] [client:client.py-start-91] connect server success:ws://127.0.0.1:8888/
[2018-05-16 11:36:55,833] [INFO   ] [client:client.py-on_recv_msg-51] web socket connection have disconnect, reconnect
[2018-05-16 11:37:28,133] [INFO   ] [client:client.py-init_logging-34] Current log level is : INFO
[2018-05-16 11:37:28,141] [INFO   ] [client:client.py-send_data-99] will post device central :{"action": "join", "body": "xx", "fullname": "15608059720", "token": "1234", "room": "R123"}
[2018-05-16 11:37:28,142] [INFO   ] [client:client.py-send_data-99] will post device central :{"action": "status", "body": "xx", "fullname": "15608059720", "token": "1234", "room": "R123"}
[2018-05-16 11:37:28,142] [INFO   ] [client:client.py-start-91] connect server success:ws://127.0.0.1:8888/
[2018-05-16 11:37:28,195] [INFO   ] [client:client.py-on_recv_msg-55] receive message = {"status": -1, "body": {}, "message": "success", "timestamp": "1526441848.19"}
[2018-05-16 14:24:11,103] [INFO   ] [client:client.py-on_recv_msg-51] web socket connection have disconnect, reconnect
[2018-05-16 14:24:20,090] [INFO   ] [client:client.py-init_logging-34] Current log level is : INFO
[2018-05-16 14:24:20,098] [INFO   ] [client:client.py-send_data-99] will post device central :{"action": "join", "body": "xx", "fullname": "15608059720", "token": "1234", "room": "R123"}
[2018-05-16 14:24:20,098] [INFO   ] [client:client.py-send_data-99] will post device central :{"action": "status", "body": "xx", "fullname": "15608059720", "token": "1234", "room": "R123"}
[2018-05-16 14:24:20,098] [INFO   ] [client:client.py-start-91] connect server success:ws://127.0.0.1:8888/
